,Category,Description,Title
25,Open Source,"Linux systems are everywhere today, even in companies once considered “pure Windows.” If you’re a sysadmin, network administrator, or developer in a small Windows shop, you may have to jump in and fix a system problem when your site goes down. What if you have no Linux knowledge? This short guide provides tips to help you survive.",Ten Steps to Linux Survival
26,Open Source,"Todayâs open source, managed by open governance and collaborative foundations, is fueling a developer revolution across worldwide communities working to conquer the next computing challenge—the cloud. Proprietary clouds and cloud ecosystems are being superseded by open source collaborations across the industry, such as Docker, OpenStack, and Cloud Foundry.",Open by Design
27,Open Source,"Welcome to InnerSource, the powerful movement for developing open source software within the walls of a single organization, where the 'openness' of a project extends across teams inside the company. In this ebook, OâReilly editor and author Andy Oram takes you inside InnerSource, first by reviewing the principles that make open source development successful, and then by describing how InnerSource has worked at PayPal, the leading Internet commerce facilitator.",Getting Started with InnerSource
28,Software Architecture,"In this report, you’ll explore how leading organizations increase autonomy across teams and services through techniques designed to accelerate product delivery and improve business/IT alignment.",Designing Autonomous Teams and Services
29,Software Architecture,Authors Kevin Webber and Jason Goodwin cover proven steps and techniques that enable your company to take advantage of cloud infrastructureâs power and flexibility.,Migrating Java to the Cloud
30,Software Architecture,"Authors Mike Roberts and John Chapin, co-founders of the Symphonia Serverless and cloud technology consultancy, take you through the Serverless landscape—particularly the design considerations, tooling, and approaches to operational management you need to make it work. Is Serverless the right choice for you and your team? Dive into this report and find out.",What Is Serverless?
31,Software Architecture,"In this report, author Susan Fowler looks at lessons learned from driving a production-readiness initiative across Uber’s more than one thousand microservices. You’ll explore eight production-readiness requirements that she and her fellow SREs at Uber adopted after countless hours of research inside and outside the company.",Microservices in Production: Standard Principles and Requirements
32,Software Architecture,"Remember when service-oriented architecture (SOA) was all the rage? Companies jumped in before fully understanding SOA's advantages and disadvantages, and struggled to make this complex architecture work. Today, we're poised to repeat this same experience with microservicesâonly this time we're prepared. With this concise ebook, author Mark Richards walks you through the ten most common microservice anti-patterns and pitfalls, and provides solutions for avoiding them.",Microservices AntiPatterns and Pitfalls
33,Software Architecture,"Through interviews with financial, technology, and legal experts, author Mike Barlow explores efforts to make financial services platforms more developer-friendly.",Evolving Architectures of FinTech: Structuring a New Generation of Financial Services with Modular Software and Agile Development Strategies
34,Software Architecture,"The success of any application or system depends on the architecture pattern you use. By describing the overall characteristics of the architecture, these patterns not only guide designers and developers on how to design components, but also determine the ways in which those components should interact.",Software Architecture Patterns
35,Software Architecture,Adoption of cloud-native application architectures is helping many organizations transform their IT into a force for true agility in the marketplace. This OâReilly ebook defines the unique characteristics of cloud-native application architectures such as microservices and twelve-factor applications.,Migrating to Cloud-Native Application Architectures
